"state","bioguide","thomas","govtrack","opensecrets","votesmart","party","status","majority_leader","majority_whip","minority_leader","minority_whip","class","gender","ethnicity","name","slug","date_of_birth","entered_office","term_end","latitude","longitude","address","website","phone","twitter_url","facebook_url","photo_url","biography"
"AK","S001198","02290","412665","N00035774",,"republican","active",false,false,false,false,"II","male","white","Dan Sullivan","dan-sullivan","1964-11-13","2015-01-03","2021-01-03",38.892839,-77.004356,"702 Hart Senate Office Building Washington DC 20510","http://www.sullivan.senate.gov","202-224-3004","https://twitter.com/SenDanSullivan","https://www.facebook.com/SenDanSullivan","https://cdn.civil.services/senate/headshots/512x512/dan-sullivan.jpg","Dan Sullivan is a Senator from Alaska; born in Fairview Park, Cuyahoga County, Ohio, November 13, 1964; graduated Culver Military Academy, Culver, Ind., 1983; B.A., Harvard University, 1987; M.F.S. and J.D., Georgetown University, 1993; United States Marine Corps 1993-1997; United States Marine Corps Reserves 1997-present, attaining the rank of lieutenant colonel; lawyer; White House aide and director on the National Security Council staff during the George W. Bush administration; assistant U.S. secretary of state for economic, energy and business affairs 2006-2009; attorney general of Alaska 2009-2010; Commissioner of Alaska Department of Natural Resources 2010-2013; elected as a Republican to the United States Senate in 2014 for the term ending January 3, 2021."
"AK","M001153","01694","300075","N00026050","15841","republican","active",false,false,false,false,"III","female","white","Lisa Murkowski","lisa-murkowski","1957-05-22","2002-12-20","2023-01-03",38.892839,-77.004356,"709 Hart Senate Office Building Washington DC 20510","http://www.murkowski.senate.gov","202-224-6665","https://twitter.com/LisaMurkowski","https://www.facebook.com/SenLisaMurkowski","https://cdn.civil.services/senate/headshots/512x512/lisa-murkowski.jpg","Lisa Murkowski (daughter of Frank Hughes Murkowski), a Senator from Alaska; born in Ketchikan, Alaska, on May 22, 1957; attended public schools in Fairbanks, AK; attended Willamette University in Salem, Oregon, 1975-1977; B.A. in Economics, Georgetown University 1980; J.D., Willamette College of Law 1985; attorney; member, Alaska Bar Association; Anchorage District Court attorney 1987-1989; private practice 1989-1996; Mayor's Task Force on the Homeless 1990-1991; Anchorage Equal Rights Commission 1997-1998; Alaska State house of representatives 1999-2002; appointed to the U.S. Senate on December 20, 2002, to fill the vacancy caused by the resignation of her father, Frank H. Murkowski; elected to the U.S. Senate in 2004; unsuccessful candidate for renomination in 2010, but subsequently elected as a write-in candidate in the November 2, 2010, general election, for the term ending January 3, 2017; Republican Conference vice-chair (2009-2010); chair, Committee on Energy and Natural Resources (One Hundred Fourteenth Congress)."
"AL","S001141","01548","300088","N00003062","443","republican","active",false,false,false,false,"II","male","white","Jefferson Sessions","jefferson-sessions","1946-12-24","1997-01-03","2021-01-03",38.892542,-77.007415,"326 Russell Senate Office Building Washington DC 20510","http://www.sessions.senate.gov","202-224-4124","https://twitter.com/SenatorSessions","https://www.facebook.com/jeffsessions","https://cdn.civil.services/senate/headshots/512x512/jefferson-sessions.jpg","Jefferson Sessions, a Senator from Alabama; born in Hybart, Ala., December 24, 1946; attended the public schools; graduated from Huntingdon College, Montgomery 1969; graduated from University of Alabama School of Law, Tuscaloosa 1973; admitted to the Alabama bar in 1973, and engaged in the practice of law in Russellville 1973-1975; served in the U.S. Army Reserves, attaining the rank of captain 1973-1977; practiced law in Mobile 1977-1981; United States Attorney for the Southern District of Alabama 1981-1993; Alabama Attorney General 1994-1996; elected as a Republican to the United States Senate in 1996; reelected in 2002, 2008, and again in 2014 for the term ending January 3, 2021."
"AL","S000320","01049","300089","N00009920","53266","republican","active",false,false,false,false,"III","male","white","Richard Shelby","richard-shelby","1934-05-06","1987-01-03","2023-01-03",38.892542,-77.007415,"304 Russell Senate Office Building Washington DC 20510","http://www.shelby.senate.gov","202-224-5744","https://twitter.com/SenShelby","https://www.facebook.com/RichardShelby","https://cdn.civil.services/senate/headshots/512x512/richard-shelby.jpg","Richard Shelby, a Senator and a Representative from Alabama; born in Birmingham, Ala., May 6, 1934; attended the public schools; graduated, University of Alabama 1957; graduated, University of Alabama School of Law 1963; admitted to the Alabama bar in 1961 and commenced practice in Tuscaloosa; city prosecutor, Tuscaloosa 1963-1971; United States Commissioner, Northern District of Alabama 1966-1970; Member, Alabama State Senate 1970-1978; elected as a Democrat to the Ninety-sixth Congress in 1978; reelected to the three succeeding Congresses and served from January 3, 1979, to January 3, 1987; was not a candidate for reelection to the House of Representatives in 1986, but was elected to the United States Senate; reelected in 1992, 1998, 2004, and again in 2010 for the term ending January 3, 2017; changed from the Democratic to the Republican Party in 1994; Chair, Select Committee on Intelligence (One Hundred Fifth and One Hundred Sixth Congresses, One Hundred Seventh Congress [January 20, 2001-June 6, 2001]), Committee on Banking, Housing and Urban Affairs (One Hundred Eighth and One Hundred Ninth Congresses, One Hundred Fourteenth Congress)."
"AR","C001095","02098","412508","N00033363","135651","republican","active",false,false,false,false,"II","male","white","Tom Cotton","tom-cotton","1977-05-13","2015-01-03","2021-01-03",38.892542,-77.007415,"124 Russell Senate Office Building Washington DC 20510","http://www.cotton.senate.gov","202-224-2353","https://twitter.com/SenTomCotton","https://www.facebook.com/SenatorTomCotton","https://cdn.civil.services/senate/headshots/512x512/tom-cotton.jpg","Tom Cotton, a Senator and a Representative from Arkansas; born in Dardanelle, Yell County, Ark., May 13, 1977; A.B., Harvard University, Cambridge, Mass., 1998; attended Claremont Graduate University, Claremont, Calif., 1998-1999; J.D., Harvard University, Cambridge, Mass., 2002; United States Army, 2004-2009; clerk, U.S. Court of Appeals, 2002-2003; lawyer, private practice; management consultant; farmer; elected as a Republican to the One Hundred Thirteenth Congress (January 3, 2013-January 3, 2015); was not a candidate for reelection to the House of Representatives but was elected as a Republican to the United States Senate in 2014 for the term ending January 3, 2021."
"AR","B001236","01687","400040","N00013873","27958","republican","active",false,false,false,false,"III","male","white","John Boozman","john-boozman","1950-12-10","2011-01-03","2023-01-03",38.892839,-77.004356,"141 Hart Senate Office Building Washington DC 20510","http://www.boozman.senate.gov","202-224-4843","https://twitter.com/JohnBoozman","https://www.facebook.com/JohnBoozman","https://cdn.civil.services/senate/headshots/512x512/john-boozman.jpg","John Boozman, a Senator and a Representative from Arkansas; born in Shreveport, La., December 10, 1950; graduated from Northside High School, Fort Smith, Ark.; attended the University of Arkansas, Fayetteville, Ark., 1969-1972; graduated Southern College of Optometry, 1977; optometrist; business owner; rancher; member of the Rogers, Ark., school board; elected as a Republican to the One Hundred Seventh Congress by special election to fill the vacancy caused by the resignation of United States Representative Asa Hutchinson; reelected to the four succeeding Congresses (November 20, 2001-January 3, 2011); was not a candidate for reelection to the House of Representatives but was elected as a Republican to the United States Senate in 2010 for the term ending January 3, 2017."
"AZ","F000444","01633","400134","N00009573","28128","republican","active",false,false,false,false,"I","male","white","Jeff Flake","jeff-flake","1962-12-31","2013-01-03","2019-01-03",38.892542,-77.007415,"413 Russell Senate Office Building Washington DC 20510","http://www.flake.senate.gov","202-224-4521","https://twitter.com/JeffFlake","https://www.facebook.com/senatorjeffflake","https://cdn.civil.services/senate/headshots/512x512/jeff-flake.jpg","Jeff Flake, a Senator and a Representative from Arizona; born in Snowflake, Navajo County, Ariz., December 31, 1962; graduated from Brigham Young University, Provo, Utah, 1986; M.A. Brigham Young University, Provo, Utah, 1987; elected as a Republican to the One Hundred Seventh and to the five succeeding Congresses (January 3, 2001-January 3, 2013); was not a candidate for reelection to the House of Representatives but was elected as a Republican to the United States Senate in 2012 for the term ending January 3, 2019."
"AZ","M000303","00754","300071","N00006424","53270","republican","active",false,false,false,false,"III","male","white","John McCain","john-mccain","1936-08-29","1987-01-03","2023-01-03",38.892542,-77.007415,"218 Russell Senate Office Building Washington DC 20510","http://www.mccain.senate.gov","202-224-2235","https://twitter.com/SenJohnMcCain","https://www.facebook.com/johnmccain","https://cdn.civil.services/senate/headshots/512x512/john-mccain.jpg","John McCain, a Senator and a Representative from Arizona; born in Panama Canal Zone, August 29, 1936; attended schools in Alexandria, Va.; graduated United States Naval Academy, Annapolis, Md. 1958, and the National War College, Washington, D.C. 1973; pilot, United States Navy 1958-1981, prisoner of war in Vietnam 1967-1973; received numerous awards, including the Silver Star, Legion of Merit, Purple Heart, and Distinguished Flying Cross; elected as a Republican in 1982 to the Ninety-eighth Congress; reelected to the Ninety-ninth Congress in 1984 and served from January 3, 1983, to January 3, 1987; elected to the United States Senate in 1986; reelected in 1992, 1998, 2004, and again in 2010 for the term ending January 3, 2017; chair, Committee on Indian Affairs (One Hundred Fourth Congress; One Hundred Ninth Congress), Committee on Commerce, Science, and Transportation (One Hundred Fifth through One Hundred Sixth Congresses, One Hundred Seventh Congress [January 20, 2001-June 6, 2001], One Hundred Eighth Congress), Committee on Armed Services (One Hundred Fourteenth Congress); was an unsuccessful candidate for the Republican presidential nomination in 2000; was an unsuccessful Republican nominee for President of the United States in 2008."
"CA","F000062","01332","300043","N00007364","53273","democrat","active",false,false,false,false,"I","female","white","Dianne Feinstein","dianne-feinstein","1933-06-22","1992-11-10","2019-01-03",38.892839,-77.004356,"331 Hart Senate Office Building Washington DC 20510","http://www.feinstein.senate.gov","202-224-3841","https://twitter.com/SenFeinstein","https://www.facebook.com/senatorfeinstein","https://cdn.civil.services/senate/headshots/512x512/dianne-feinstein.jpg","Dianne Feinstein, a Senator from California; born in San Francisco, Calif., June 22, 1933; attended the San Francisco public schools and graduated from the Convent of the Sacred Heart High School 1951; graduated, Stanford University 1955; Member, California Women's Board of Terms and Parole 1960-1966; Member, San Francisco Board of Supervisors 1970-1978, serving as president 1970-1971, 1974-1975, 1978; mayor of San Francisco 1978-1988; director, Bank of California 1988-1989; co-chair, San Francisco Education Fund's Permanent Fund 1988-1989; unsuccessful candidate for Governor of California 1990; elected in a special election on November 3, 1992, as a Democrat to the United States Senate to fill the term left vacant by the resignation of Pete Wilson; took office on November 4, 1992, and took the oath of office on November 10, 1992; reelected in 1994, 2000, 2006, and again in 2012 for the term ending January 3, 2019; chair, Committee on Rules and Administration (One Hundred Tenth Congress), Select Committee on Intelligence (One Hundred Eleventh to One Hundred Thirteenth Congresses)."
"CA","H001075",,"412678",,"120012","democrat","active",false,false,false,false,"III","female","asian-american","Kamala Harris","kamala-harris","1964-10-20","2017-01-03","2023-01-03",38.892839,-77.004356,"112 Hart Senate Office Building Washington DC 20510","http://www.harris.senate.gov","202-224-3553","https://twitter.com/kamalaharris","https://www.facebook.com/kamalaharris","https://cdn.civil.services/senate/headshots/512x512/kamala-harris.jpg","Kamala Harris, a Senator from California; born in Oakland, Calif., October 20, 1964; B.A., Howard University, 1986; J.D., University of California, Hastings College of the Law, 1989; admitted to the California bar in 1990; deputy district attorney, Alameda County, Calif., 1990-1998; managing attorney, San Francisco District Attorney’s Office; chief of the San Francisco City Attorney’s Division on Children and Families; district attorney of San Francisco 2004-2011; attorney general of California 2011-2016; elected as a Democrat to the United States Senate in 2016 for the term ending January 3, 2023."
